customer_age,product_price,discount_percent,product_rating,past_purchase_count,past_return_rate,delivery_delay_days,session_length_minutes,num_product_views,device_type,product_category,shipping_method,payment_method,used_coupon,returned,order_id
66,36.5262426965925,63.08170951316934,1.3185916545944103,9,0.1408312719799876,-0.6103797625107392,57.23560394196586,31,desktop,toys,standard,apple_pay,1,0,209305
54,-10.703964581307488,58.80641772675742,3.492165421510926,9,0.4776671782976098,-0.8143930950511389,92.3114293157783,10,mobile,clothing,standard,apple_pay,0,1,214789
56,49.95434621729559,53.3904525104758,4.4589545169904365,13,0.1500929425542868,0.3926608629492908,126.82415574528773,2,desktop,electronics,same_day,apple_pay,1,0,230603
78,19.558517259000467,21.28856670106036,3.3293480569695086,8,0.3358919215203252,-1.246640238294164,103.62112701144116,22,tablet,electronics,standard,debit_card,1,0,205625
64,30.30540228339263,17.20947688539188,2.470907835426505,11,0.072961611177447,0.2588135950478316,22.1322646474078,35,tablet,home,standard,paypal,0,0,110598
73,154.3320896036004,21.745584603461143,3.080302193908758,13,-0.0076989188712401,0.1781676493610715,16.812347795945342,23,tablet,sports,standard,apple_pay,1,1,15195
58,166.6840420056017,60.67761411583961,3.2001760806016923,9,0.2210904125029649,1.9319187519440355,87.89341506916132,-2,tablet,beauty,express,paypal,1,1,23237
37,39.63024910936343,3.762515951762114,4.606886375248598,8,0.2232835609709688,2.972941852379159,97.76606654904072,35,mobile,toys,standard,paypal,0,1,96006
54,129.22990741918954,35.04308977561631,2.267473291718782,10,0.2484082789474421,1.017263680771585,109.39402265005674,22,mobile,toys,standard,debit_card,1,1,213815
80,7.095668966112861,21.56197286581518,4.329835146036533,9,0.030638785929425,-0.0125329375212406,113.4230490139614,8,desktop,beauty,standard,debit_card,0,0,204451
79,-3.8474712923183247,47.25699383136344,4.675274483675208,6,0.1249069461152203,1.1964077218242863,80.57957866142876,37,mobile,clothing,express,debit_card,0,1,139951
48,66.52960213730782,71.7131436442892,3.971943273436333,6,0.1239265638594172,0.6046290369136691,57.85780921904235,10,mobile,home,standard,paypal,0,0,216995
49,30.248097394200457,47.00293489280223,3.0860382267658446,9,0.4337771076768096,0.0083118267676266,115.6207793010152,2,desktop,home,standard,paypal,1,1,219769
73,10.857119599129632,72.51216779302864,3.321715757445505,9,0.3358489653189349,1.8665035711712652,31.57893312639314,-1,tablet,sports,standard,credit_card,1,1,173762
69,30.117824036448752,37.30927142700028,0.9255222257440444,10,0.229467316303381,0.7163749026371753,106.41255462178772,-2,tablet,sports,standard,credit_card,1,1,208855
47,-8.288416694750534,28.25910039624931,3.65222646636513,9,0.1858553645963544,4.119732221732852,61.79498634387919,14,mobile,home,standard,credit_card,1,0,74778
75,103.65506416367298,17.77537206166204,2.2985081516279773,13,0.1396975887939776,2.040700064745904,116.69821658507774,5,mobile,toys,standard,apple_pay,1,0,40643
38,21.16065864463129,64.81701111237945,3.217880854148554,9,0.2529986701674639,-1.2586631258711078,133.2065617875728,10,mobile,beauty,standard,apple_pay,1,0,155987
21,15.542411021091716,65.44457070275611,2.862326795408537,14,0.3042714856802214,-3.373448570085179,24.617345627944303,26,tablet,electronics,standard,apple_pay,1,1,59332
84,22.92580736518909,20.023914050779894,0.808018517223045,6,0.157022721408813,0.9966336646179343,107.49523599830852,5,mobile,toys,express,paypal,0,1,44984
50,61.92739194429299,33.35834917048139,3.033741190040529,8,0.0986642969138636,1.828925498821212,64.04631629921346,27,mobile,beauty,standard,credit_card,1,1,85016
76,117.57289154010994,29.661639663577496,1.256854391824621,18,0.0375400637076954,-0.3746306438290649,114.8543777899237,12,desktop,sports,standard,debit_card,1,0,230208
49,1.032150078362072,5.750133789969917,2.042846205525751,9,0.1130841359421152,-0.9671700647708654,46.94448883869183,-1,mobile,clothing,standard,paypal,0,0,57146
51,14.113721991963994,35.60675156285474,1.8010005857107445,9,0.066627689899522,3.117455010604159,114.2734826849306,23,mobile,toys,standard,paypal,1,0,64091
59,30.40617482898311,57.10525614231071,3.2432130603246243,11,-0.0012152689347522,2.451781100105024,99.44147187186474,38,mobile,sports,standard,apple_pay,1,0,76985
50,63.39130918417989,15.910983610084052,1.9331397457913253,9,0.398664188965094,-1.1949365990788654,43.01010336956484,9,mobile,sports,standard,credit_card,1,1,49675
40,41.392569613525815,26.93389263774372,4.29460936628828,10,0.0799823612310665,1.8824711116810344,105.32517565954308,-1,tablet,toys,standard,paypal,0,0,119848
44,10.413658590461097,65.10863747112936,2.3447040778444124,8,0.0308585032219327,3.5715966855792542,73.22146248702332,15,mobile,sports,express,debit_card,1,1,83693
30,5.00303342182335,57.06298623367552,3.1622143663561224,7,0.2992682207957531,-0.2848170989145513,71.26088584996336,8,desktop,electronics,same_day,credit_card,1,1,184975
65,14.313200895666196,72.79091812712872,2.0306413359523385,18,0.4154519219947173,-1.699636062806909,65.76435368695421,13,mobile,toys,standard,credit_card,1,0,239511
58,102.65015490662763,22.36791515508053,1.1409179233620783,7,0.1204851241361205,3.6860719632830143,121.38267038955796,18,mobile,beauty,express,debit_card,1,1,53077
49,6.05209563244015,52.219488173268985,4.207937881206646,9,0.1567043290320419,3.371820024179807,27.836916546929253,24,desktop,clothing,standard,debit_card,1,1,127245
66,18.058131137142528,58.83660997784702,0.8004865661874505,11,0.2050680696222566,0.499677196772139,24.958730574501605,0,mobile,clothing,express,debit_card,1,1,19594
78,127.94514445446396,21.738512710224867,0.9619943727836968,9,0.4739925475905098,-1.345356106412008,128.9348755466406,26,mobile,sports,standard,credit_card,0,0,122342
47,14.796552975875706,58.62779333889885,3.95915623260312,21,0.2177038231840919,-0.9279151646930638,95.74445609233922,11,mobile,sports,standard,debit_card,1,1,207026
60,29.713290052942327,71.94455707026552,3.9319397394319697,8,0.2230036039839118,-5.290825464204634,126.51061345223196,19,mobile,electronics,standard,apple_pay,1,0,198292
59,38.66280753587945,33.8399224445443,4.183885925742163,13,0.1123907090744615,-1.1958285500263548,76.61146821864682,2,mobile,electronics,standard,paypal,0,0,37436
50,27.426333159646887,61.99946828258249,2.894252330271634,10,0.2586796532348105,0.770891076860564,109.32038172201202,15,mobile,electronics,express,debit_card,1,0,34150
83,-0.4796380496033805,75.71312930562237,2.6052142967846845,6,0.17258060011466,3.1648798285125084,115.57563775027448,2,mobile,clothing,standard,debit_card,1,0,77584
73,20.981053326614116,31.009302862452994,4.151598296697706,7,0.2836325959443401,0.4448453991257786,25.67058454361268,41,desktop,electronics,express,debit_card,0,1,97785
77,58.81923647874613,29.607503565312985,3.499259431037945,8,0.356318077341229,1.5695774963726297,131.33670515710347,4,desktop,sports,standard,credit_card,0,1,49824
66,47.20988378341562,23.094605203331746,2.7650651697186373,13,0.2201708469866066,0.7992783227618165,7.155205329544934,5,mobile,beauty,standard,debit_card,0,1,44948
